policy,size_bytes,iters,avg_malloc_ns,avg_free_ns,overhead_bytes
BEST_FIT,1,200000,45.5334,44.2379,32
BEST_FIT,2,200000,45.7038,44.3949,32
BEST_FIT,4,200000,44.7218,43.5630,32
BEST_FIT,8,200000,44.2672,42.3730,32
BEST_FIT,16,200000,44.2825,42.3901,32
BEST_FIT,32,200000,44.3142,42.3385,32
BEST_FIT,64,200000,43.8510,42.3799,32
BEST_FIT,128,200000,43.5481,42.3742,32
BEST_FIT,256,200000,44.5036,43.1717,32
BEST_FIT,512,200000,45.0017,43.7378,32
BEST_FIT,1024,200000,45.4481,43.7206,32
BEST_FIT,2048,50000,45.4262,43.6625,32
BEST_FIT,4096,50000,45.1903,43.8492,32
BEST_FIT,8192,50000,45.5608,43.7203,32
BEST_FIT,16384,50000,45.3046,43.7022,32
BEST_FIT,32768,50000,45.4083,43.7360,32
BEST_FIT,65536,50000,45.3869,43.6944,32
BEST_FIT,131072,5000,44.9754,43.6572,32
BEST_FIT,262144,5000,45.7162,43.6834,32
BEST_FIT,524288,5000,45.3122,44.1676,32
BEST_FIT,1048576,5000,45.7978,43.6592,32
BEST_FIT,2097152,800,45.0750,43.6737,32
BEST_FIT,4194304,800,44.9675,43.6375,32
BEST_FIT,8388608,800,45.2112,43.6613,32
